"script.filename","script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","values.completed","expressions.da","expressions.db","expressions.d","expressions.percentcorrect"
"IAT_race.iqx","041318","17:42:53","867752673","6","9300","1","","-1.4142135623730951455","-0.7071067811865475727","100"
"IAT_race.iqx","041318","17:05:19","905831587","2","314343","1","1.4210300100242347909","0.878880712061563707","1.1499553610428991934","100"
"IAT_flowers_insects.iqx","041318","17:20:31","767115399","7","276938","1","-0.1867585358093374337","0.8476640909207225905","0.3304527775556925784","90.8333333333333285964"
"IAT_race.iqx","041318","17:25:53","830748203","6","303648","1","0.2773301468358742028","0.2690972407680056744","0.2732136938019399386","99.1596638655462214729"
"IAT_flowers_insects.iqx","041318","12:49:31","231421624","1","367642","1","0.4052631823813179768","0.6103909059628185307","0.5078270441720682538","81.5126050420168013488"
"IAT_flowers_insects.iqx","041318","12:54:12","755961286","4","159001","1","-0.2617152176164511124","0.399331902693584595","0.0688083425385667413","90.8333333333333285964"
"IAT_flowers_insects.iqx","041318","09:55:44","442057301","7","200112","1","1.0535153440673683534","0.3111831786900202124","0.6823492613786943384","96.6666666666666714036"
"IAT_race.iqx","041318","11:59:57","24129553","6","197997","1","0.2521297712466977203","0.6152366952511079123","0.4336832332489027886","85"
"IAT_flowers_insects.iqx","041318","18:05:40","284817422","8","227755","1","0.6983206725786891278","0.6140867049851572723","0.6562036887819231445","86.6666666666666714036"
"IAT_flowers_insects.iqx","041318","18:05:55","213541838","2","259092","1","0.6113799557487942238","0.5707237256474160247","0.5910518406981051243","96.6666666666666714036"
"IAT_race.iqx","041318","18:12:44","650179091","3","210910","1","0.6103468792344145522","0.6021966532370289782","0.6062717662357217652","85"
"IAT_flowers_insects.iqx","041318","13:12:47","278872382","2","251980","1","1.1820703452495753272","0.4314755290680564737","0.8067729371588159282","96.6666666666666714036"
"IAT_race.iqx","041318","18:13:17","209849636","7","262661","1","-1.0224001123359911514","0.3440144414514058058","-0.3391928354422926728","91.6666666666666571928"
"IAT_race.iqx","041318","18:18:24","436533122","5","258218","1","0.1359973747388059095","0.6452159787831126536","0.3906066767609592816","90.8333333333333285964"
"IAT_race.iqx","041318","13:19:45","308675497","1","249425","1","0.5066357498385972713","0.9411808691928290616","0.7239083095157131664","93.3333333333333285964"
"IAT_race.iqx","041318","18:20:49","39920667","7","254968","1","0.7909428520741157431","0.8300496360706374199","0.810496244072376637","90"
"IAT_flowers_insects.iqx","041318","12:24:06","86938792","2","227764","1","0.471583239555180056","-0.3318992520321727979","0.069841993761503629","98.3333333333333285964"
"IAT_flowers_insects.iqx","041318","13:24:18","711210983","7","278386","1","0.9978059243705250658","0.5286783726307555664","0.7632421485006403161","98.3333333333333285964"
"IAT_race.iqx","041318","12:26:49","766903329","1","254860","1","0.8405562861072992664","0.1341713310516184088","0.4873638085794588237","98.3333333333333285964"
"IAT_flowers_insects.iqx","041318","13:29:15","855240671","5","167994","1","-0.697706798251594873","-0.2402649689943202049","-0.4689858836229575667","52.5"
"IAT_race.iqx","041318","13:29:27","530436433","8","277529","1","0.3065006843179933771","0.3504713242778640381","0.3284860042979287353","97.5"
"IAT_flowers_insects.iqx","041318","10:30:59","426592903","3","242085","1","-0.0175552776907406047","-0.0103667709072863008","-0.0139610242990134536","83.3333333333333285964"
"IAT_race.iqx","041318","13:31:24","998555993","8","257215","1","0.6322965464202460195","0.5820445215352048063","0.6071705339777253574","87.5"
"IAT_race.iqx","041318","12:31:12","416358122","1","273355","1","-0.1813939372467992805","0.5241724879792605263","0.171389275366230609","97.5"
"IAT_flowers_insects.iqx","041318","18:33:01","601961149","2","218280","1","0.4139525732126885238","0.3301128104088328907","0.3720326918107607073","94.1666666666666714036"
"IAT_flowers_insects.iqx","041318","18:34:19","145924742","4","234441","1","0.8740319285707406349","0.5098440778541201146","0.6919380032124303748","98.3333333333333285964"
"IAT_race.iqx","041318","18:34:17","236853641","5","252834","1","-0.0311027050964358849","-0.7069243525800311678","-0.3690135288382335177","97.5"
"IAT_flowers_insects.iqx","041318","10:43:09","972375767","2","167817","1","0.7750136734326420473","0.7955434645483925316","0.7852785689905172894","93.3333333333333285964"
"IAT_flowers_insects.iqx","041318","12:43:50","878482895","8","302219","1","1.0274041252797920798","-0.1586596480964226619","0.4343722385916847228","95.8333333333333428072"
"IAT_flowers_insects.iqx","041318","12:50:39","527775144","6","187448","1","1.0794973492593011866","0.4696245452260097153","0.7745609472426554509","65.8333333333333285964"
"IAT_flowers_insects.iqx","041318","18:54:55","854706704","3","237582","1","1.3165525475400090549","0.9559499763597871791","1.136251261949898117","95.8333333333333428072"
"IAT_flowers_insects.iqx","041318","13:54:28","389159334","1","305358","1","0.2492013980112642302","0.1087821898564252376","0.1789917939338447339","69.1666666666666714036"
"IAT_flowers_insects.iqx","041318","18:54:53","223782864","8","269915","1","-0.2341090063002435606","-0.0148443456037289923","-0.1244766759519862764","95.8333333333333285964"
