"script.filename","script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","values.completed","expressions.da","expressions.db","expressions.d","expressions.percentcorrect"
"IAT_flowers_insects.iqx","122116","13:16:05","14","14","313099","1","0.8533747256916726087","0.5574758120724798705","0.7054252688820762396","95.8333333333333428072"
"IAT_race.iqx","122116","18:12:24","12","12","172559","1","-0.0561126200524449392","0.4364217360799252932","0.190154558013740177","97.5"
"IAT_race.iqx","122116","13:02:54","10","10","243512","1","-0.6744274179969264038","0.0932509328141264693","-0.2905882425913999811","95.8333333333333428072"
"IAT_flowers_insects.iqx","122116","17:58:35","13","13","236623","1","1.3014607320007200997","1.213451389535676217","1.2574560607681981583","85.8333333333333285964"
"IAT_flowers_insects.iqx","122116","17:36:40","6","6","216865","1","0.9083328597983704178","0.6827181824865325988","0.7955255211424514528","91.6666666666666571928"
"IAT_race.iqx","122116","17:34:08","3","3","354796","1","-0.3322908778866106583","0.1325398768830642615","-0.0998755005017731984","96.6666666666666714036"
"IAT_flowers_insects.iqx","122116","17:35:38","8","8","201658","1","1.0372609233403911055","1.0590037380352250729","1.0481323306878080892","99.1666666666666714036"
"IAT_race.iqx","122116","17:34:37","4","4","259405","1","0.4349812590407668988","0.926939148587320072","0.6809602038140434299","90.8333333333333285964"
"IAT_flowers_insects.iqx","122116","17:34:33","5","5","245432","1","1.2486576378707507917","0.9748805217955209823","1.111769079833135887","80"
"IAT_flowers_insects.iqx","122116","17:34:48","7","7","192348","1","1.2305927644922993736","1.5122330193672546272","1.3714128919297770004","92.5"
"IAT_race.iqx","122116","17:34:33","2","2","210361","1","1.1355450399301627584","1.3161901581377404291","1.2258675990339515938","90.8333333333333285964"
