"participant","condition","IAT_condition","block_order","task_order","gender","age","mean_rating","IAT_D1","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_D1","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials","modern_racism_scale_total"
4,4,"Race IAT","incongruent","SCIAT first","male",26,4,0.528,740,0.96,FALSE,NA,NA,NA,NA,16
7,7,"Flowers-Insects IAT","congruent","SCIAT first","female",37,4,-0.028,962,0.98,FALSE,NA,NA,NA,NA,22
8,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",26,4,-0.146,1042,0.88,FALSE,NA,NA,NA,NA,20
12,4,"Race IAT","incongruent","SCIAT first","male",21,3.83,0.717,721,0.78,FALSE,NA,NA,NA,NA,13
13,5,"Flowers-Insects IAT","congruent","ratings first","male",40,4.33,1.113,718,0.95,FALSE,NA,NA,NA,NA,21
15,7,"Flowers-Insects IAT","congruent","SCIAT first","female ",20,3.17,0.213,1078,0.98,FALSE,NA,NA,NA,NA,17
16,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",50,5.67,0.672,871,0.98,FALSE,NA,NA,NA,NA,15
18,2,"Race IAT","incongruent","ratings first","male",33,2.33,-0.195,700,0.81,FALSE,NA,NA,NA,NA,16
21,5,"Flowers-Insects IAT","congruent","ratings first","male",36,4.17,-0.315,665,1,FALSE,NA,NA,NA,NA,15
22,6,"Flowers-Insects IAT","incongruent","ratings first","female",54,3.83,1.001,887,0.98,FALSE,NA,NA,NA,NA,20
23,7,"Flowers-Insects IAT","congruent","SCIAT first","female",31,5,0.457,622,0.91,FALSE,NA,NA,NA,NA,12
24,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,3.83,0.969,949,0.98,FALSE,NA,NA,NA,NA,16
26,2,"Race IAT","incongruent","ratings first","female",20,4,0.408,897,0.98,FALSE,NA,NA,NA,NA,20
29,5,"Flowers-Insects IAT","congruent","ratings first","female",40,4,-0.026,731,0.98,FALSE,NA,NA,NA,NA,18
32,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",23,5.17,1.006,989,0.82,FALSE,NA,NA,NA,NA,21
33,1,"Race IAT","congruent","ratings first","female",30,4.33,0.949,804,0.96,FALSE,NA,NA,NA,NA,22
37,5,"Flowers-Insects IAT","congruent","ratings first","male",64,4.33,0.273,775,1,FALSE,NA,NA,NA,NA,17
